comment_id,platform,comment,timestamp
1,YouTube,Horrible! Nothing like advertised!,2026-01-02 13:14:23
2,YouTube,Impressive quality! Love everything about it!,2025-12-08 13:14:23
3,Twitter,I absolutely love this product! Amazing quality!,2026-01-04 13:14:23
4,Twitter,Awful product! Returned immediately!,2025-12-14 13:14:23
5,Twitter,So happy with this! Perfect for what I needed!,2025-12-25 13:14:23
6,Instagram,"It's alright, does what it says",2025-12-18 13:14:23
7,Instagram,Wonderful experience! Thank you so much!,2025-12-22 13:14:23
8,YouTube,Terrible experience! Would not recommend!,2025-12-11 13:14:23
9,Twitter,"It's okay, nothing special but does the job",2025-12-30 13:14:23
10,Instagram,Best purchase I've ever made! Highly recommend!,2025-12-27 13:14:23
11,YouTube,It works fine for everyday use,2026-01-01 13:14:23
12,Instagram,Neutral feelings about this purchase,2025-12-11 13:14:23
13,YouTube,Very disappointed with the quality. Not worth it!,2025-12-29 13:14:23
14,YouTube,I absolutely love this product! Amazing quality!,2025-12-07 13:14:23
15,Twitter,Brilliant! Exactly what I was looking for!,2025-12-12 13:14:23
16,YouTube,Excellent service and great customer support!,2025-12-08 13:14:23
17,Instagram,Excellent service and great customer support!,2025-12-27 13:14:23
18,YouTube,"Pretty standard, no complaints",2025-12-17 13:14:23
19,Twitter,Impressive quality! Love everything about it!,2025-12-30 13:14:23
20,Facebook,Decent quality for the price,2025-12-27 13:14:23
21,Facebook,Best purchase I've ever made! Highly recommend!,2025-12-29 13:14:23
22,Facebook,Neutral feelings about this purchase,2025-12-20 13:14:23
23,YouTube,This is fantastic! Exceeded my expectations!,2025-12-15 13:14:23
24,Instagram,Very disappointed with the quality. Not worth it!,2025-12-31 13:14:23
25,Instagram,Great value for money! Very satisfied!,2025-12-31 13:14:23
26,Twitter,Brilliant! Exactly what I was looking for!,2025-12-13 13:14:23
27,Twitter,Horrible! Nothing like advertised!,2025-12-15 13:14:23
28,Twitter,Impressive quality! Love everything about it!,2026-01-03 13:14:23
29,YouTube,So happy with this! Perfect for what I needed!,2025-12-25 13:14:23
30,YouTube,Unacceptable quality! Very frustrated!,2025-12-31 13:14:23
31,Facebook,Outstanding! Will definitely buy again!,2025-12-24 13:14:23
32,Instagram,Brilliant! Exactly what I was looking for!,2025-12-17 13:14:23
33,Instagram,Best purchase I've ever made! Highly recommend!,2025-12-14 13:14:23
34,Instagram,Wonderful experience! Thank you so much!,2026-01-01 13:14:23
35,Instagram,Impressive quality! Love everything about it!,2025-12-23 13:14:23
36,Twitter,Impressive quality! Love everything about it!,2026-01-04 13:14:23
37,Twitter,Great value for money! Very satisfied!,2025-12-21 13:14:23
38,Twitter,Wonderful experience! Thank you so much!,2025-12-29 13:14:23
39,Twitter,Great value for money! Very satisfied!,2025-12-14 13:14:23
40,YouTube,This is fantastic! Exceeded my expectations!,2025-12-25 13:14:23
41,Instagram,Brilliant! Exactly what I was looking for!,2025-12-22 13:14:23
42,Twitter,I absolutely love this product! Amazing quality!,2025-12-17 13:14:23
43,Instagram,Best purchase I've ever made! Highly recommend!,2026-01-05 13:14:23
44,YouTube,It works fine for everyday use,2026-01-04 13:14:23
45,Twitter,Brilliant! Exactly what I was looking for!,2025-12-15 13:14:23
46,Facebook,Best purchase I've ever made! Highly recommend!,2025-12-30 13:14:23
47,Facebook,Horrible! Nothing like advertised!,2025-12-22 13:14:23
48,Instagram,Neutral feelings about this purchase,2025-12-17 13:14:23
49,Instagram,"It's okay, nothing special but does the job",2026-01-03 13:14:23
50,Instagram,Pathetic! Don't waste your time!,2025-12-22 13:14:23
51,Facebook,Waste of money! Completely unsatisfied!,2026-01-01 13:14:23
52,Twitter,Excellent service and great customer support!,2025-12-27 13:14:23
53,YouTube,I absolutely love this product! Amazing quality!,2025-12-16 13:14:23
54,Twitter,Excellent service and great customer support!,2025-12-29 13:14:23
55,YouTube,I absolutely love this product! Amazing quality!,2025-12-18 13:14:23
56,Twitter,I absolutely love this product! Amazing quality!,2025-12-22 13:14:23
57,YouTube,I absolutely love this product! Amazing quality!,2025-12-11 13:14:23
58,Instagram,Decent quality for the price,2025-12-11 13:14:23
59,Instagram,"Not bad, not great, just okay",2025-12-13 13:14:23
60,Instagram,So happy with this! Perfect for what I needed!,2025-12-23 13:14:23
61,Twitter,Impressive quality! Love everything about it!,2025-12-29 13:14:23
62,Facebook,Wonderful experience! Thank you so much!,2026-01-06 13:14:23
63,YouTube,So happy with this! Perfect for what I needed!,2025-12-09 13:14:23
64,Twitter,"Regular product, nothing extraordinary",2025-12-22 13:14:23
65,Instagram,"It's okay, nothing special but does the job",2026-01-02 13:14:23
66,YouTube,Poor quality and bad customer service!,2025-12-26 13:14:23
67,Twitter,Great value for money! Very satisfied!,2025-12-26 13:14:23
68,Instagram,Great value for money! Very satisfied!,2025-12-17 13:14:23
69,Instagram,Impressive quality! Love everything about it!,2025-12-09 13:14:23
70,YouTube,Unacceptable quality! Very frustrated!,2026-01-01 13:14:23
71,Instagram,Neutral feelings about this purchase,2025-12-25 13:14:23
72,Facebook,Horrible! Nothing like advertised!,2025-12-28 13:14:23
73,Instagram,Neutral feelings about this purchase,2025-12-11 13:14:23
74,Facebook,Wonderful experience! Thank you so much!,2025-12-19 13:14:23
75,YouTube,Decent quality for the price,2026-01-03 13:14:23
76,YouTube,Excellent service and great customer support!,2025-12-23 13:14:23
77,Facebook,Decent quality for the price,2025-12-18 13:14:23
78,Facebook,Wonderful experience! Thank you so much!,2025-12-28 13:14:23
79,Instagram,Wonderful experience! Thank you so much!,2026-01-05 13:14:23
80,Instagram,Terrible experience! Would not recommend!,2026-01-05 13:14:23
81,Twitter,So happy with this! Perfect for what I needed!,2025-12-16 13:14:23
82,YouTube,Excellent service and great customer support!,2025-12-26 13:14:23
83,YouTube,"Acceptable quality, no issues so far",2025-12-16 13:14:23
84,YouTube,"Average product, met basic expectations",2025-12-15 13:14:23
85,Instagram,Waste of money! Completely unsatisfied!,2025-12-24 13:14:23
86,Facebook,This is fantastic! Exceeded my expectations!,2026-01-05 13:14:23
87,Twitter,Great value for money! Very satisfied!,2025-12-24 13:14:23
88,Twitter,Horrible! Nothing like advertised!,2025-12-08 13:14:23
89,Twitter,Brilliant! Exactly what I was looking for!,2025-12-24 13:14:23
90,Facebook,Brilliant! Exactly what I was looking for!,2026-01-02 13:14:23
91,Facebook,Excellent service and great customer support!,2025-12-24 13:14:23
92,Facebook,Best purchase I've ever made! Highly recommend!,2025-12-28 13:14:23
93,Facebook,"Acceptable quality, no issues so far",2026-01-01 13:14:23
94,Twitter,Awful product! Returned immediately!,2026-01-03 13:14:23
95,Instagram,So happy with this! Perfect for what I needed!,2025-12-21 13:14:23
96,YouTube,"It's alright, does what it says",2025-12-26 13:14:23
97,Twitter,Great value for money! Very satisfied!,2025-12-23 13:14:23
98,Instagram,"Pretty standard, no complaints",2026-01-04 13:14:23
99,Facebook,Decent quality for the price,2025-12-12 13:14:23
100,Instagram,"Not bad, not great, just okay",2025-12-18 13:14:23
101,Twitter,Decent quality for the price,2026-01-05 13:14:23
102,Facebook,Great value for money! Very satisfied!,2025-12-16 13:14:23
103,Instagram,Unacceptable quality! Very frustrated!,2025-12-23 13:14:23
104,YouTube,Outstanding! Will definitely buy again!,2025-12-11 13:14:23
105,YouTube,Brilliant! Exactly what I was looking for!,2026-01-03 13:14:23
106,YouTube,Neutral feelings about this purchase,2025-12-10 13:14:23
107,Instagram,"Acceptable quality, no issues so far",2025-12-14 13:14:23
108,Facebook,"Acceptable quality, no issues so far",2026-01-02 13:14:23
109,Facebook,Poor quality and bad customer service!,2025-12-30 13:14:23
110,YouTube,"Not bad, not great, just okay",2025-12-28 13:14:23
111,Facebook,"It's okay, nothing special but does the job",2025-12-12 13:14:23
112,Twitter,"Average product, met basic expectations",2026-01-04 13:14:23
113,Instagram,"Average product, met basic expectations",2025-12-21 13:14:23
114,Instagram,Wonderful experience! Thank you so much!,2026-01-06 13:14:23
115,YouTube,I absolutely love this product! Amazing quality!,2025-12-08 13:14:23
116,Instagram,Excellent service and great customer support!,2025-12-11 13:14:23
117,Instagram,Horrible! Nothing like advertised!,2025-12-11 13:14:23
118,Facebook,Brilliant! Exactly what I was looking for!,2026-01-03 13:14:23
119,Twitter,"Not bad, not great, just okay",2026-01-02 13:14:23
120,YouTube,"Not bad, not great, just okay",2025-12-21 13:14:23
121,Facebook,"It's alright, does what it says",2025-12-22 13:14:23
122,Instagram,"Regular product, nothing extraordinary",2025-12-22 13:14:23
123,Twitter,Great value for money! Very satisfied!,2025-12-15 13:14:23
124,Facebook,Great value for money! Very satisfied!,2026-01-02 13:14:23
125,Instagram,Brilliant! Exactly what I was looking for!,2025-12-25 13:14:23
126,Instagram,Brilliant! Exactly what I was looking for!,2025-12-23 13:14:23
127,Instagram,Poor quality and bad customer service!,2025-12-23 13:14:23
128,YouTube,I absolutely love this product! Amazing quality!,2026-01-01 13:14:23
129,Twitter,Unacceptable quality! Very frustrated!,2025-12-31 13:14:23
130,Twitter,"Pretty standard, no complaints",2025-12-21 13:14:23
131,Instagram,Neutral feelings about this purchase,2025-12-17 13:14:23
132,Facebook,Excellent service and great customer support!,2025-12-29 13:14:23
133,Facebook,"Pretty standard, no complaints",2026-01-04 13:14:23
134,YouTube,"Pretty standard, no complaints",2025-12-07 13:14:23
135,Twitter,"Regular product, nothing extraordinary",2025-12-15 13:14:23
136,YouTube,"Acceptable quality, no issues so far",2025-12-29 13:14:23
137,Instagram,Brilliant! Exactly what I was looking for!,2025-12-26 13:14:23
138,Facebook,Terrible experience! Would not recommend!,2026-01-05 13:14:23
139,Instagram,It works fine for everyday use,2026-01-03 13:14:23
140,Facebook,Wonderful experience! Thank you so much!,2025-12-27 13:14:23
141,Facebook,Waste of money! Completely unsatisfied!,2026-01-03 13:14:23
142,YouTube,Great value for money! Very satisfied!,2025-12-13 13:14:23
143,YouTube,Very disappointed with the quality. Not worth it!,2025-12-18 13:14:23
144,Instagram,Best purchase I've ever made! Highly recommend!,2025-12-23 13:14:23
145,Facebook,"It's okay, nothing special but does the job",2025-12-08 13:14:23
146,Instagram,Wonderful experience! Thank you so much!,2025-12-25 13:14:23
147,Instagram,"Acceptable quality, no issues so far",2025-12-31 13:14:23
148,Instagram,Outstanding! Will definitely buy again!,2025-12-30 13:14:23
149,Instagram,Impressive quality! Love everything about it!,2025-12-12 13:14:23
150,Facebook,I absolutely love this product! Amazing quality!,2025-12-17 13:14:23
151,YouTube,I absolutely love this product! Amazing quality!,2025-12-12 13:14:23
152,Instagram,Great value for money! Very satisfied!,2025-12-19 13:14:23
153,Twitter,Excellent service and great customer support!,2025-12-16 13:14:23
154,Facebook,Unacceptable quality! Very frustrated!,2025-12-22 13:14:23
155,Instagram,Wonderful experience! Thank you so much!,2025-12-21 13:14:23
156,Twitter,"Acceptable quality, no issues so far",2025-12-10 13:14:23
157,Instagram,Great value for money! Very satisfied!,2025-12-17 13:14:23
158,Twitter,Best purchase I've ever made! Highly recommend!,2026-01-02 13:14:23
159,Facebook,Best purchase I've ever made! Highly recommend!,2025-12-22 13:14:23
160,Instagram,Neutral feelings about this purchase,2026-01-06 13:14:23
161,Instagram,Horrible! Nothing like advertised!,2025-12-25 13:14:23
162,Facebook,Excellent service and great customer support!,2025-12-07 13:14:23
163,Instagram,It works fine for everyday use,2025-12-10 13:14:23
164,Twitter,Decent quality for the price,2025-12-25 13:14:23
165,Facebook,"Average product, met basic expectations",2025-12-19 13:14:23
166,Twitter,Horrible! Nothing like advertised!,2025-12-17 13:14:23
167,Instagram,Outstanding! Will definitely buy again!,2025-12-31 13:14:23
168,Twitter,"Not bad, not great, just okay",2025-12-31 13:14:23
169,Twitter,"It's okay, nothing special but does the job",2025-12-30 13:14:23
170,Twitter,Pathetic! Don't waste your time!,2025-12-09 13:14:23
171,Facebook,Very disappointed with the quality. Not worth it!,2025-12-26 13:14:23
172,YouTube,Pathetic! Don't waste your time!,2025-12-14 13:14:23
173,Facebook,Impressive quality! Love everything about it!,2025-12-22 13:14:23
174,YouTube,I absolutely love this product! Amazing quality!,2026-01-03 13:14:23
175,Instagram,Neutral feelings about this purchase,2025-12-24 13:14:23
176,Twitter,It works fine for everyday use,2026-01-06 13:14:23
177,YouTube,This is fantastic! Exceeded my expectations!,2025-12-20 13:14:23
178,Facebook,I absolutely love this product! Amazing quality!,2025-12-20 13:14:23
179,Twitter,Great value for money! Very satisfied!,2025-12-15 13:14:23
180,Instagram,"Acceptable quality, no issues so far",2026-01-02 13:14:23
181,Instagram,Brilliant! Exactly what I was looking for!,2025-12-09 13:14:23
182,Twitter,Great value for money! Very satisfied!,2025-12-08 13:14:23
183,Instagram,Brilliant! Exactly what I was looking for!,2026-01-06 13:14:23
184,Instagram,"Acceptable quality, no issues so far",2025-12-19 13:14:23
185,Instagram,Waste of money! Completely unsatisfied!,2025-12-11 13:14:23
186,Instagram,Wonderful experience! Thank you so much!,2026-01-01 13:14:23
187,Instagram,Brilliant! Exactly what I was looking for!,2025-12-17 13:14:23
188,YouTube,Poor quality and bad customer service!,2025-12-18 13:14:23
189,Twitter,"Average product, met basic expectations",2026-01-04 13:14:23
190,Instagram,"It's alright, does what it says",2025-12-15 13:14:23
191,Facebook,This is fantastic! Exceeded my expectations!,2025-12-23 13:14:23
192,Facebook,Unacceptable quality! Very frustrated!,2025-12-28 13:14:23
193,YouTube,Outstanding! Will definitely buy again!,2025-12-27 13:14:23
194,Facebook,"It's okay, nothing special but does the job",2025-12-26 13:14:23
195,YouTube,"Regular product, nothing extraordinary",2025-12-22 13:14:23
196,Instagram,Excellent service and great customer support!,2025-12-11 13:14:23
197,YouTube,Impressive quality! Love everything about it!,2025-12-31 13:14:23
198,Instagram,"Not bad, not great, just okay",2026-01-05 13:14:23
199,YouTube,"It's alright, does what it says",2025-12-07 13:14:23
200,Instagram,I absolutely love this product! Amazing quality!,2025-12-29 13:14:23
201,Instagram,Best purchase I've ever made! Highly recommend!,2026-01-05 13:14:23
202,Instagram,"It's alright, does what it says",2026-01-06 13:14:23
203,YouTube,I absolutely love this product! Amazing quality!,2025-12-30 13:14:23
204,Instagram,Great value for money! Very satisfied!,2025-12-20 13:14:23
205,Instagram,Impressive quality! Love everything about it!,2025-12-13 13:14:23
206,Twitter,Brilliant! Exactly what I was looking for!,2025-12-13 13:14:23
207,YouTube,Horrible! Nothing like advertised!,2025-12-12 13:14:23
208,Facebook,I absolutely love this product! Amazing quality!,2025-12-27 13:14:23
209,Facebook,"Pretty standard, no complaints",2025-12-12 13:14:23
210,Facebook,"It's okay, nothing special but does the job",2025-12-12 13:14:23
211,Instagram,Outstanding! Will definitely buy again!,2025-12-10 13:14:23
212,YouTube,"Pretty standard, no complaints",2025-12-19 13:14:23
213,Facebook,Decent quality for the price,2026-01-01 13:14:23
214,YouTube,This is fantastic! Exceeded my expectations!,2026-01-02 13:14:23
215,YouTube,Outstanding! Will definitely buy again!,2026-01-04 13:14:23
216,YouTube,Decent quality for the price,2025-12-27 13:14:23
217,Facebook,Outstanding! Will definitely buy again!,2025-12-26 13:14:23
218,Instagram,Brilliant! Exactly what I was looking for!,2026-01-06 13:14:23
219,Instagram,Neutral feelings about this purchase,2025-12-11 13:14:23
220,Instagram,Wonderful experience! Thank you so much!,2026-01-06 13:14:23
221,Twitter,So happy with this! Perfect for what I needed!,2025-12-22 13:14:23
222,Facebook,"Pretty standard, no complaints",2026-01-05 13:14:23
223,Facebook,Brilliant! Exactly what I was looking for!,2025-12-20 13:14:23
224,Twitter,Excellent service and great customer support!,2025-12-29 13:14:23
225,Facebook,Wonderful experience! Thank you so much!,2026-01-02 13:14:23
226,Instagram,Brilliant! Exactly what I was looking for!,2025-12-17 13:14:23
227,Instagram,I absolutely love this product! Amazing quality!,2026-01-01 13:14:23
228,Facebook,Pathetic! Don't waste your time!,2025-12-27 13:14:23
229,Instagram,"It's okay, nothing special but does the job",2025-12-07 13:14:23
230,Facebook,Outstanding! Will definitely buy again!,2026-01-06 13:14:23
231,Facebook,Very unhappy with this purchase! Avoid!,2025-12-20 13:14:23
232,Facebook,Neutral feelings about this purchase,2026-01-03 13:14:23
233,Instagram,Impressive quality! Love everything about it!,2026-01-04 13:14:23
234,Instagram,So happy with this! Perfect for what I needed!,2025-12-11 13:14:23
235,YouTube,Great value for money! Very satisfied!,2025-12-09 13:14:23
236,Instagram,Brilliant! Exactly what I was looking for!,2025-12-12 13:14:23
237,Twitter,Very unhappy with this purchase! Avoid!,2025-12-22 13:14:23
238,YouTube,I absolutely love this product! Amazing quality!,2026-01-01 13:14:23
239,Twitter,Excellent service and great customer support!,2025-12-08 13:14:23
240,Facebook,This is fantastic! Exceeded my expectations!,2025-12-12 13:14:23
241,Twitter,"Acceptable quality, no issues so far",2025-12-12 13:14:23
242,Facebook,This is fantastic! Exceeded my expectations!,2025-12-25 13:14:23
243,YouTube,Excellent service and great customer support!,2025-12-25 13:14:23
244,Facebook,"Average product, met basic expectations",2025-12-07 13:14:23
245,YouTube,Impressive quality! Love everything about it!,2025-12-19 13:14:23
246,Facebook,"Acceptable quality, no issues so far",2025-12-14 13:14:23
247,Instagram,Very disappointed with the quality. Not worth it!,2025-12-18 13:14:23
248,Twitter,"It's alright, does what it says",2025-12-27 13:14:23
249,Instagram,Horrible! Nothing like advertised!,2025-12-08 13:14:23
250,Instagram,So happy with this! Perfect for what I needed!,2025-12-30 13:14:23
251,Twitter,"Average product, met basic expectations",2025-12-15 13:14:23
252,Instagram,"Pretty standard, no complaints",2025-12-26 13:14:23
253,Instagram,"Average product, met basic expectations",2025-12-08 13:14:23
254,Twitter,This is fantastic! Exceeded my expectations!,2025-12-23 13:14:23
255,Facebook,Excellent service and great customer support!,2025-12-08 13:14:23
256,Twitter,"Pretty standard, no complaints",2025-12-16 13:14:23
257,Facebook,Outstanding! Will definitely buy again!,2025-12-12 13:14:23
258,Instagram,Best purchase I've ever made! Highly recommend!,2025-12-24 13:14:23
259,Twitter,Pathetic! Don't waste your time!,2025-12-22 13:14:23
260,Facebook,"Not bad, not great, just okay",2025-12-09 13:14:23
261,Twitter,Great value for money! Very satisfied!,2025-12-29 13:14:23
262,Facebook,"It's alright, does what it says",2025-12-14 13:14:23
263,Instagram,Awful product! Returned immediately!,2026-01-06 13:14:23
264,Facebook,Poor quality and bad customer service!,2025-12-21 13:14:23
265,YouTube,Awful product! Returned immediately!,2025-12-26 13:14:23
266,Instagram,It works fine for everyday use,2025-12-15 13:14:23
267,Instagram,So happy with this! Perfect for what I needed!,2025-12-19 13:14:23
268,Facebook,I absolutely love this product! Amazing quality!,2026-01-04 13:14:23
269,Facebook,Wonderful experience! Thank you so much!,2025-12-08 13:14:23
270,Twitter,Great value for money! Very satisfied!,2025-12-28 13:14:23
271,Facebook,"Not bad, not great, just okay",2025-12-14 13:14:23
272,Facebook,Unacceptable quality! Very frustrated!,2026-01-04 13:14:23
273,Instagram,Brilliant! Exactly what I was looking for!,2025-12-26 13:14:23
274,Facebook,So happy with this! Perfect for what I needed!,2025-12-23 13:14:23
275,Instagram,Decent quality for the price,2025-12-07 13:14:23
276,Facebook,Wonderful experience! Thank you so much!,2025-12-27 13:14:23
277,Instagram,"Acceptable quality, no issues so far",2025-12-19 13:14:23
278,Twitter,Horrible! Nothing like advertised!,2025-12-27 13:14:23
279,Twitter,"Not bad, not great, just okay",2026-01-05 13:14:23
280,YouTube,It works fine for everyday use,2025-12-24 13:14:23
281,Twitter,"Regular product, nothing extraordinary",2025-12-27 13:14:23
282,Instagram,Best purchase I've ever made! Highly recommend!,2025-12-28 13:14:23
283,Instagram,Excellent service and great customer support!,2025-12-28 13:14:23
284,YouTube,Brilliant! Exactly what I was looking for!,2025-12-13 13:14:23
285,Instagram,Outstanding! Will definitely buy again!,2026-01-02 13:14:23
286,Instagram,"Acceptable quality, no issues so far",2025-12-13 13:14:23
287,Instagram,"It's okay, nothing special but does the job",2025-12-07 13:14:23
288,YouTube,It works fine for everyday use,2026-01-06 13:14:23
289,Twitter,Very unhappy with this purchase! Avoid!,2025-12-31 13:14:23
290,Instagram,Awful product! Returned immediately!,2025-12-14 13:14:23
291,Twitter,Wonderful experience! Thank you so much!,2025-12-28 13:14:23
292,YouTube,"Average product, met basic expectations",2025-12-23 13:14:23
293,YouTube,Best purchase I've ever made! Highly recommend!,2025-12-10 13:14:23
294,Instagram,Best purchase I've ever made! Highly recommend!,2025-12-07 13:14:23
295,Twitter,This is fantastic! Exceeded my expectations!,2025-12-14 13:14:23
296,Instagram,So happy with this! Perfect for what I needed!,2025-12-29 13:14:23
297,Twitter,"Average product, met basic expectations",2025-12-15 13:14:23
298,Facebook,Very disappointed with the quality. Not worth it!,2025-12-24 13:14:23
299,Instagram,"Acceptable quality, no issues so far",2025-12-27 13:14:23
300,Instagram,"It's okay, nothing special but does the job",2025-12-07 13:14:23
